Feature,Importance
AdjEM,0.05641817241550094
G,0.047318556392102806
WAB,0.04676054091923284
AdjDE,0.04316683806133837
SEED,0.041850120869038276
FUTURE_ODDS,0.040805583543924044
o_eFGPct,0.04061325587836623
DE,0.03694147529004539
de_TOPct,0.036698916443399225
de_ORPct,0.03444586167862835
3P_O,0.03421526978273515
o_TOPct,0.034179365903078025
de_FTRate,0.03329047957125955
OE,0.03309526269654368
Def_3,0.031215859810805838
2P_D,0.029782179783534618
o_ORPct,0.029595090426423356
Tempo,0.029020661899457543
o_FTRate,0.02869620455707747
W,0.02863708459765576
Off_2,0.027356861138984865
Def_2,0.025319367601831733
3P_D,0.02495998838860759
Off_3,0.02425346150768378
CONF_B10,0.011442956673069025
Season,0.010059896571563618
CONF_B12,0.006884673368037877
CONF_SEC,0.005353281179281922
CONF_MWC,0.00492081358274839
CONF_ACC,0.004746545806664612
CONF_P12,0.00429398727780846
CONF_BE,0.0038044591286612384
CONF_NEC,0.0037546513194039975
CONF_Amer,0.0030560357873305206
TeamName_Maryland,0.002943703198718657
TeamName_UCLA,0.0028634296996547814
CONF_CUSA,0.002842342755590418
TeamName_Nevada,0.0028147835080658446
TeamName_Arkansas,0.002550659616254041
CONF_OVC,0.002278722697871803
TeamName_Princeton,0.0022579878702295372
TeamName_Michigan St.,0.002223896274893555
CONF_WCC,0.0021376215506576316
TeamName_New Mexico St.,0.0019160324032245894
TeamName_Ohio,0.001729606904413494
TeamName_Saint Mary's,0.0017070892093461378
CONF_Slnd,0.0016092168413347954
TeamName_Kansas St.,0.0016037087261126205
TeamName_Miami FL,0.0015827160169853071
TeamName_Rutgers,0.0015711889269803478
TeamName_Pittsburgh,0.0015676582764232389
TeamName_USC,0.0015026450467434446
CONF_Ivy,0.0014756746610129453
TeamName_North Texas,0.001451121812947235
TeamName_Texas,0.0014486905514612405
TeamName_Furman,0.001446806523570677
TeamName_Creighton,0.0014068321955142927
TeamName_Gonzaga,0.0014034238413857586
TeamName_Houston,0.001395777171562281
TeamName_Mount St. Mary's,0.0013456319849998006
TeamName_Oregon St.,0.0012685614134254751
TeamName_Michigan,0.0012667707544727076
TeamName_Connecticut,0.0012109056822654624
TeamName_Villanova,0.0012050741658699825
CONF_WAC,0.0011880495796665511
TeamName_Florida Atlantic,0.001135349100485383
TeamName_Northwestern,0.001089504722984085
TeamName_Iowa St.,0.0010466117356332434
TeamName_Alabama,0.001035136332164483
TeamName_Iowa,0.001034833125384982
CONF_A10,0.0010248360033103168
TeamName_Wyoming,0.0010172081121176955
TeamName_Providence,0.0010041001780531442
TeamName_Notre Dame,0.0009889388503501182
TeamName_Bryant,0.0009866991848696694
TeamName_Saint Peter's,0.0009743279253914834
TeamName_Oregon,0.0009724954625628788
TeamName_North Carolina,0.0009656695882408711
TeamName_Kansas,0.0009274483646981346
TeamName_San Diego St.,0.0009203064269194725
TeamName_Mississippi St.,0.0008857802927586306
TeamName_Appalachian St.,0.0008838993868821256
TeamName_Baylor,0.0008782457881999804
TeamName_Syracuse,0.0008774572966006587
